what,kind,bundleId,bundleVersion,description,time
error,log,,,"Could not read settings.xml, assuming default values",1318954851714
error,log,,,"Could not read settings.xml, assuming default values",1318954851714
error,log,,,"Could not read settings.xml, assuming default values",1318954851715
error,log,,,"Could not read settings.xml, assuming default values",1318954851716
error,log,,,"Could not read settings.xml, assuming default values",1318954851717
error,log,,,"Could not read settings.xml, assuming default values",1318954851718
error,log,,,"Could not read settings.xml, assuming default values",1318954851719
error,log,,,"Could not read settings.xml, assuming default values",1318954851720
error,log,,,"Could not read settings.xml, assuming default values",1318954851721
error,log,,,"Could not read settings.xml, assuming default values",1318954851721
error,log,,,"Could not read settings.xml, assuming default values",1318954851722
error,log,,,"Could not read settings.xml, assuming default values",1318954851723
error,log,,,"Could not read settings.xml, assuming default values",1318954851728
error,log,,,"Could not read settings.xml, assuming default values",1318954851729
error,log,,,"Could not read settings.xml, assuming default values",1318954851730
error,log,,,"Could not read settings.xml, assuming default values",1318954851731
error,log,,,"Could not read settings.xml, assuming default values",1318954851731
error,log,,,"Could not read settings.xml, assuming default values",1318954851732
error,log,,,"Could not read settings.xml, assuming default values",1318954851733
error,log,,,"Could not read settings.xml, assuming default values",1318954851734
error,log,,,"Could not read settings.xml, assuming default values",1318954851735
error,log,,,"Could not read settings.xml, assuming default values",1318954851736
error,log,,,"Could not read settings.xml, assuming default values",1318954851737
error,log,,,"Could not read settings.xml, assuming default values",1318954851738
error,log,,,"Could not read settings.xml, assuming default values",1318954851738
error,log,,,"Could not read settings.xml, assuming default values",1318954851739
error,log,,,"Could not read settings.xml, assuming default values",1318954851740
error,log,,,"Could not read settings.xml, assuming default values",1318954851741
error,log,,,"Could not read settings.xml, assuming default values",1318954851742
error,log,,,"Could not read settings.xml, assuming default values",1318954851743
error,log,,,"Could not read settings.xml, assuming default values",1318954851744
error,log,,,"Could not read settings.xml, assuming default values",1318954851745
error,log,,,"Could not read settings.xml, assuming default values",1318954851746
error,log,,,"Could not read settings.xml, assuming default values",1318954851746
error,log,,,"Could not read settings.xml, assuming default values",1318954851747
error,log,,,"Could not read settings.xml, assuming default values",1318954851748
error,log,,,"Could not read settings.xml, assuming default values",1318954851749
error,log,,,"Could not read settings.xml, assuming default values",1318954851750
error,log,,,"Could not read settings.xml, assuming default values",1318954851751
error,log,,,"Could not read settings.xml, assuming default values",1318954851752
error,log,,,"Could not read settings.xml, assuming default values",1318954851753
error,log,,,"Could not read settings.xml, assuming default values",1318954851754
error,log,,,"Could not read settings.xml, assuming default values",1318954851755
error,log,,,"Could not read settings.xml, assuming default values",1318954851756
error,log,,,"Could not read settings.xml, assuming default values",1318954851756
error,log,,,"Could not read settings.xml, assuming default values",1318954851757
error,log,,,"Could not read settings.xml, assuming default values",1318954851758
error,log,,,"Could not read settings.xml, assuming default values",1318954851759
error,log,,,"Could not read settings.xml, assuming default values",1318954851760
error,log,,,"Could not read settings.xml, assuming default values",1318954851761
error,log,,,"Could not read settings.xml, assuming default values",1318954851762
error,log,,,"Could not read settings.xml, assuming default values",1318954851763
error,log,,,"Could not read settings.xml, assuming default values",1318954851764
error,log,,,"Could not read settings.xml, assuming default values",1318954851765
error,log,,,"Could not read settings.xml, assuming default values",1318954851766
error,log,,,"Could not read settings.xml, assuming default values",1318954851766
error,log,,,"Could not read settings.xml, assuming default values",1318954851767
error,log,,,"Could not read settings.xml, assuming default values",1318954851768
error,log,,,"Could not read settings.xml, assuming default values",1318954851769
error,log,,,"Could not read settings.xml, assuming default values",1318954851770
error,log,,,"Could not read settings.xml, assuming default values",1318954851772
error,log,,,"Could not read settings.xml, assuming default values",1318954851776
error,log,,,"Could not read settings.xml, assuming default values",1318954851778
error,log,,,"Could not read settings.xml, assuming default values",1318954851778
error,log,,,"Could not read settings.xml, assuming default values",1318954851779
error,log,,,"Could not read settings.xml, assuming default values",1318954851780
error,log,,,"Could not read settings.xml, assuming default values",1318954851781
error,log,,,"Could not read settings.xml, assuming default values",1318954851782
error,log,,,"Could not read settings.xml, assuming default values",1318954851783
error,log,,,"Could not read settings.xml, assuming default values",1318954851784
error,log,,,"Could not read settings.xml, assuming default values",1318954851785
error,log,,,"Could not read settings.xml, assuming default values",1318954851786
error,log,,,"Could not read settings.xml, assuming default values",1318954851787
error,log,,,"Could not read settings.xml, assuming default values",1318954851787
error,log,,,"Could not read settings.xml, assuming default values",1318954851788
error,log,,,"Could not read settings.xml, assuming default values",1318954851789
error,log,,,"Could not read settings.xml, assuming default values",1318954851790
error,log,,,"Could not read settings.xml, assuming default values",1318954851791
error,log,,,"Could not read settings.xml, assuming default values",1318954851792
error,log,,,"Could not read settings.xml, assuming default values",1318954851793
error,log,,,"Could not read settings.xml, assuming default values",1318954851794
error,log,,,"Could not read settings.xml, assuming default values",1318954851794
error,log,,,"Could not read settings.xml, assuming default values",1318954851795
error,log,,,"Could not read settings.xml, assuming default values",1318954851796
error,log,,,"Could not read settings.xml, assuming default values",1318954851797
error,log,,,"Could not read settings.xml, assuming default values",1318954851798
error,log,,,"Could not read settings.xml, assuming default values",1318954851799
error,log,,,"Could not read settings.xml, assuming default values",1318954851800
error,log,,,"Could not read settings.xml, assuming default values",1318954851801
error,log,,,"Could not read settings.xml, assuming default values",1318954851802
error,log,,,"Could not read settings.xml, assuming default values",1318954851802
error,log,,,"Could not read settings.xml, assuming default values",1318954851803
error,log,,,"Could not read settings.xml, assuming default values",1318954851804
error,log,,,"Could not read settings.xml, assuming default values",1318954851805
error,log,,,"Could not read settings.xml, assuming default values",1318954851806
error,log,,,"Could not read settings.xml, assuming default values",1318954851807
error,log,,,"Could not read settings.xml, assuming default values",1318954851808
error,log,,,"Could not read settings.xml, assuming default values",1318954851809
error,log,,,"Could not read settings.xml, assuming default values",1318954851810
error,log,,,"Could not read settings.xml, assuming default values",1318954851811
error,log,,,"Could not read settings.xml, assuming default values",1318954851811
error,log,,,"Could not read settings.xml, assuming default values",1318954851812
error,log,,,"Could not read settings.xml, assuming default values",1318954851813
error,log,,,"Could not read settings.xml, assuming default values",1318954851814
error,log,,,"Could not read settings.xml, assuming default values",1318954851833
error,log,,,"Could not read settings.xml, assuming default values",1318954851834
error,log,,,"Could not read settings.xml, assuming default values",1318954851835
error,log,,,"Could not read settings.xml, assuming default values",1318954851836
error,log,,,"Could not read settings.xml, assuming default values",1318954851837
error,log,,,"Could not read settings.xml, assuming default values",1318954851838
error,log,,,"Could not read settings.xml, assuming default values",1318954851839
error,log,,,"Could not read settings.xml, assuming default values",1318954851844
error,log,,,"Could not read settings.xml, assuming default values",1318954851845
error,log,,,"Could not read settings.xml, assuming default values",1318954851845
error,log,,,"Could not read settings.xml, assuming default values",1318954851846
error,log,,,"Could not read settings.xml, assuming default values",1318954851847
error,log,,,"Could not read settings.xml, assuming default values",1318954851848
error,log,,,"Could not read settings.xml, assuming default values",1318954851849
error,log,,,"Could not read settings.xml, assuming default values",1318954851850
error,log,,,"Could not read settings.xml, assuming default values",1318954851851
error,log,,,"Could not read settings.xml, assuming default values",1318954851854
error,log,,,"Could not read settings.xml, assuming default values",1318954851855
error,log,,,"Could not read settings.xml, assuming default values",1318954851857
error,log,,,"Could not read settings.xml, assuming default values",1318954851858
error,log,,,"Could not read settings.xml, assuming default values",1318954851859
error,log,,,"Could not read settings.xml, assuming default values",1318954851860
error,log,,,"Could not read settings.xml, assuming default values",1318954851862
error,log,,,"Could not read settings.xml, assuming default values",1318954851863
error,log,,,"Could not read settings.xml, assuming default values",1318954851864
error,log,,,"Could not read settings.xml, assuming default values",1318954851865
error,log,,,"Could not read settings.xml, assuming default values",1318954851866
error,log,,,"Could not read settings.xml, assuming default values",1318954851867
error,log,,,"Could not read settings.xml, assuming default values",1318954851868
error,log,,,"Could not read settings.xml, assuming default values",1318954851869
error,log,,,"Could not read settings.xml, assuming default values",1318954851870
error,log,,,"Could not read settings.xml, assuming default values",1318954851871
error,log,,,"Could not read settings.xml, assuming default values",1318954851871
error,log,,,"Could not read settings.xml, assuming default values",1318954851872
error,log,,,"Could not read settings.xml, assuming default values",1318954851873
error,log,,,"Could not read settings.xml, assuming default values",1318954851874
error,log,,,"Could not read settings.xml, assuming default values",1318954851875
error,log,,,"Could not read settings.xml, assuming default values",1318954851876
error,log,,,"Could not read settings.xml, assuming default values",1318954851877
error,log,,,"Could not read settings.xml, assuming default values",1318954851878
error,log,,,"Could not read settings.xml, assuming default values",1318954851879
error,log,,,"Could not read settings.xml, assuming default values",1318954851879
error,log,,,"Could not read settings.xml, assuming default values",1318954851880
error,log,,,"Could not read settings.xml, assuming default values",1318954851881
error,log,,,"Could not read settings.xml, assuming default values",1318954851882
error,log,,,"Could not read settings.xml, assuming default values",1318954851883
error,log,,,"Could not read settings.xml, assuming default values",1318954851884
error,log,,,"Could not read settings.xml, assuming default values",1318954851885
error,log,,,"Could not read settings.xml, assuming default values",1318954851886
error,log,,,"Could not read settings.xml, assuming default values",1318954851887
error,log,,,"Could not read settings.xml, assuming default values",1318954851887
error,log,,,"Could not read settings.xml, assuming default values",1318954851888
error,log,,,"Could not read settings.xml, assuming default values",1318954851889
error,log,,,"Could not read settings.xml, assuming default values",1318954851890
error,log,,,"Could not read settings.xml, assuming default values",1318954851891
error,log,,,"Could not read settings.xml, assuming default values",1318954851892
error,log,,,"Could not read settings.xml, assuming default values",1318954851893
error,log,,,"Could not read settings.xml, assuming default values",1318954851897
error,log,,,"Could not read settings.xml, assuming default values",1318954851898
error,log,,,"Could not read settings.xml, assuming default values",1318954851899
error,log,,,"Could not read settings.xml, assuming default values",1318954851900
error,log,,,"Could not read settings.xml, assuming default values",1318954851901
error,log,,,"Could not read settings.xml, assuming default values",1318954851902
error,log,,,"Could not read settings.xml, assuming default values",1318954851903
error,log,,,"Could not read settings.xml, assuming default values",1318954851903
error,log,,,"Could not read settings.xml, assuming default values",1318954851904
error,log,,,"Could not read settings.xml, assuming default values",1318954851905
error,log,,,"Could not read settings.xml, assuming default values",1318954851906
error,log,,,"Could not read settings.xml, assuming default values",1318954851907
error,log,,,"Could not read settings.xml, assuming default values",1318954851908
error,log,,,"Could not read settings.xml, assuming default values",1318954851909
error,log,,,"Could not read settings.xml, assuming default values",1318954851910
error,log,,,"Could not read settings.xml, assuming default values",1318954851911
error,log,,,"Could not read settings.xml, assuming default values",1318954851912
error,log,,,"Could not read settings.xml, assuming default values",1318954851913
error,log,,,"Could not read settings.xml, assuming default values",1318954851914
error,log,,,"Could not read settings.xml, assuming default values",1318954851952
error,log,,,"Could not read settings.xml, assuming default values",1318954851953
error,log,,,"Could not read settings.xml, assuming default values",1318954851955
error,log,,,"Could not read settings.xml, assuming default values",1318954851956
error,log,,,"Could not read settings.xml, assuming default values",1318954851956
error,log,,,"Could not read settings.xml, assuming default values",1318954851957
error,log,,,"Could not read settings.xml, assuming default values",1318954851958
error,log,,,"Could not read settings.xml, assuming default values",1318954851959
error,log,,,"Could not read settings.xml, assuming default values",1318954851960
error,log,,,"Could not read settings.xml, assuming default values",1318954851962
error,log,,,"Could not read settings.xml, assuming default values",1318954851963
error,log,,,"Could not read settings.xml, assuming default values",1318954851964
error,log,,,"Could not read settings.xml, assuming default values",1318954851966
error,log,,,"Could not read settings.xml, assuming default values",1318954851967
error,log,,,"Could not read settings.xml, assuming default values",1318954851968
error,log,,,"Could not read settings.xml, assuming default values",1318954851969
error,log,,,"Could not read settings.xml, assuming default values",1318954851970
error,log,,,"Could not read settings.xml, assuming default values",1318954851971
error,log,,,"Could not read settings.xml, assuming default values",1318954851972
error,log,,,"Could not read settings.xml, assuming default values",1318954851973
error,log,,,"Could not read settings.xml, assuming default values",1318954851974
error,log,,,"Could not read settings.xml, assuming default values",1318954851975
error,log,,,"Could not read settings.xml, assuming default values",1318954851976
error,log,,,"Could not read settings.xml, assuming default values",1318954851982
error,log,,,"Could not read settings.xml, assuming default values",1318954851984
error,log,,,"Could not read settings.xml, assuming default values",1318954851985
error,log,,,"Could not read settings.xml, assuming default values",1318954851986
error,log,,,"Could not read settings.xml, assuming default values",1318954851987
error,log,,,"Could not read settings.xml, assuming default values",1318954851988
error,log,,,"Could not read settings.xml, assuming default values",1318954851989
error,log,,,"Could not read settings.xml, assuming default values",1318954851991
error,log,,,"Could not read settings.xml, assuming default values",1318954851991
error,log,,,"Could not read settings.xml, assuming default values",1318954851992
error,log,,,"Could not read settings.xml, assuming default values",1318954851994
error,log,,,"Could not read settings.xml, assuming default values",1318954851995
error,log,,,"Could not read settings.xml, assuming default values",1318954851997
error,log,,,"Could not read settings.xml, assuming default values",1318954852018
error,log,,,"Could not read settings.xml, assuming default values",1318954852020
error,log,,,"Could not read settings.xml, assuming default values",1318954852022
error,log,,,"Could not read settings.xml, assuming default values",1318954852027
error,log,,,"Could not read settings.xml, assuming default values",1318954852101
error,log,,,"Could not read settings.xml, assuming default values",1318954852103
error,log,,,"Could not read settings.xml, assuming default values",1318954852155
error,log,,,"Could not read settings.xml, assuming default values",1318954852249
error,log,,,"Could not read settings.xml, assuming default values",1318954852343
error,log,,,"Could not read settings.xml, assuming default values",1318954852357
error,log,,,"Could not read settings.xml, assuming default values",1318954852447
error,log,,,"Could not read settings.xml, assuming default values",1318954852466
error,log,,,"Could not read settings.xml, assuming default values",1318954852467
error,log,,,"Could not read settings.xml, assuming default values",1318954852563
error,log,,,"Could not read settings.xml, assuming default values",1318954852709
error,log,,,"Could not read settings.xml, assuming default values",1318954852713
error,log,,,"Could not read settings.xml, assuming default values",1318954852718
error,log,,,"Could not read settings.xml, assuming default values",1318954852800
error,log,,,"Could not read settings.xml, assuming default values",1318954852805
error,log,,,"Could not read settings.xml, assuming default values",1318954852818
error,log,,,"Could not read settings.xml, assuming default values",1318954852906
error,log,,,"Could not read settings.xml, assuming default values",1318954853047
error,log,,,"Could not read settings.xml, assuming default values",1318954853122
error,log,,,"Could not read settings.xml, assuming default values",1318954853266
error,log,,,"Could not read settings.xml, assuming default values",1318954853283
error,log,,,"Could not read settings.xml, assuming default values",1318954853381
error,log,,,"Could not read settings.xml, assuming default values",1318954853396
error,log,,,"Could not read settings.xml, assuming default values",1318954853419
error,log,,,"Could not read settings.xml, assuming default values",1318954853512
error,log,,,"Could not read settings.xml, assuming default values",1318954853676
error,log,,,"Could not read settings.xml, assuming default values",1318954853821
error,log,,,"Could not read settings.xml, assuming default values",1318954853845
error,log,,,"Could not read settings.xml, assuming default values",1318954853914
error,log,,,"Could not read settings.xml, assuming default values",1318954853946
error,log,,,"Could not read settings.xml, assuming default values",1318954854012
error,log,,,"Could not read settings.xml, assuming default values",1318954854013
error,log,,,"Could not read settings.xml, assuming default values",1318954854080
error,log,,,"Could not read settings.xml, assuming default values",1318954854182
error,log,,,"Could not read settings.xml, assuming default values",1318954854302
error,log,,,"Could not read settings.xml, assuming default values",1318954854432
error,log,,,"Could not read settings.xml, assuming default values",1318954854556
error,log,,,"Could not read settings.xml, assuming default values",1318954854557
error,log,,,"Could not read settings.xml, assuming default values",1318954854608
error,log,,,"Could not read settings.xml, assuming default values",1318954854777
error,log,,,"Could not read settings.xml, assuming default values",1318954854789
error,log,,,"Could not read settings.xml, assuming default values",1318954854790
error,log,,,"Could not read settings.xml, assuming default values",1318954854791
error,log,,,"Could not read settings.xml, assuming default values",1318954854792
error,log,,,"Could not read settings.xml, assuming default values",1318954854793
error,log,,,"Could not read settings.xml, assuming default values",1318954854794
error,log,,,"Could not read settings.xml, assuming default values",1318954854795
error,log,,,"Could not read settings.xml, assuming default values",1318954854797
error,log,,,"Could not read settings.xml, assuming default values",1318954854800
error,log,,,"Could not read settings.xml, assuming default values",1318954854802
error,log,,,"Could not read settings.xml, assuming default values",1318954854804
error,log,,,"Could not read settings.xml, assuming default values",1318954854805
error,log,,,"Could not read settings.xml, assuming default values",1318954854806
error,log,,,"Could not read settings.xml, assuming default values",1318954854807
error,log,,,"Could not read settings.xml, assuming default values",1318954854808
error,log,,,"Could not read settings.xml, assuming default values",1318954854809
error,log,,,"Could not read settings.xml, assuming default values",1318954854810
error,log,,,"Could not read settings.xml, assuming default values",1318954854811
error,log,,,"Could not read settings.xml, assuming default values",1318954854812
error,log,,,"Could not read settings.xml, assuming default values",1318954854813
error,log,,,"Could not read settings.xml, assuming default values",1318954854814
error,log,,,"Could not read settings.xml, assuming default values",1318954854815
error,log,,,"Could not read settings.xml, assuming default values",1318954854816
error,log,,,"Could not read settings.xml, assuming default values",1318954854817
error,log,,,"Could not read settings.xml, assuming default values",1318954854818
error,log,,,"Could not read settings.xml, assuming default values",1318954854819
error,log,,,"Could not read settings.xml, assuming default values",1318954854826
error,log,,,"Could not read settings.xml, assuming default values",1318954854827
error,log,,,"Could not read settings.xml, assuming default values",1318954854828
error,log,,,"Could not read settings.xml, assuming default values",1318954854829
error,log,,,"Could not read settings.xml, assuming default values",1318954854831
error,log,,,"Could not read settings.xml, assuming default values",1318954854832
error,log,,,"Could not read settings.xml, assuming default values",1318954855443
error,log,,,"Could not read settings.xml, assuming default values",1318954855445
error,log,,,"Could not read settings.xml, assuming default values",1318954855446
error,log,,,"Could not read settings.xml, assuming default values",1318954855446
error,log,,,"Could not read settings.xml, assuming default values",1318954855447
error,log,,,"Could not read settings.xml, assuming default values",1318954855448
error,log,,,"Could not read settings.xml, assuming default values",1318954855449
error,log,,,"Could not read settings.xml, assuming default values",1318954855450
error,log,,,"Could not read settings.xml, assuming default values",1318954855451
error,log,,,"Could not read settings.xml, assuming default values",1318954855452
error,log,,,"Could not read settings.xml, assuming default values",1318954855452
error,log,,,"Could not read settings.xml, assuming default values",1318954855453
error,log,,,"Could not read settings.xml, assuming default values",1318954855454
error,log,,,"Could not read settings.xml, assuming default values",1318954855455
error,log,,,"Could not read settings.xml, assuming default values",1318954855456
error,log,,,"Could not read settings.xml, assuming default values",1318954855457
error,log,,,"Could not read settings.xml, assuming default values",1318954855458
error,log,,,"Could not read settings.xml, assuming default values",1318954855459
error,log,,,"Could not read settings.xml, assuming default values",1318954855459
error,log,,,"Could not read settings.xml, assuming default values",1318954855460
error,log,,,"Could not read settings.xml, assuming default values",1318954855461
error,log,,,"Could not read settings.xml, assuming default values",1318954855462
error,log,,,"Could not read settings.xml, assuming default values",1318954855463
error,log,,,"Could not read settings.xml, assuming default values",1318954855464
error,log,,,"Could not read settings.xml, assuming default values",1318954855465
error,log,,,"Could not read settings.xml, assuming default values",1318954855466
error,log,,,"Could not read settings.xml, assuming default values",1318954855467
error,log,,,"Could not read settings.xml, assuming default values",1318954855467
error,log,,,"Could not read settings.xml, assuming default values",1318954855468
error,log,,,"Could not read settings.xml, assuming default values",1318954855469
error,log,,,"Could not read settings.xml, assuming default values",1318954855470
error,log,,,"Could not read settings.xml, assuming default values",1318954855471
error,log,,,"Could not read settings.xml, assuming default values",1318954855472
